Kanji,Plain,Plain negative,Past plain,Past plain negative,Present polite,Present polite negative,Past polite,Past polite negative,Potential,Potential negative,Te,Te negative,Imperative,Imperative negative,Volitional,Volitional negative,Ba,Ba negative,Causative,Causative negative,Chau,Chau negative,Chimau,Chimau negative,I,I negative,Nasai imperative,Nasai imperative negative,Passive,Passive negative,Tara,Tara negative,Frequency ranking,Lexeme,Standard Reading (in Hiragana)
浮かぶ,うかぶ,うかばない,うかんだ,うかばなかった,うかびます,うかびません,うかびました,うかびません でした,うかべる,うかべない,うかんで,うかばないで,うかべ,うかぶ な,うかぼう,,うかべば,うかばなければ,うかばせる,うかばせない,うかんじゃう,,うかんじまう,,うかび,,うかびなさい,,うかばれる,うかばれない,うかんだら,うかばなかったら,1605.0,喋る,しゃべる
去る,さる,さらない,さった,さらなかった,さります,さりません,さりました,さりません でした,される,されない,さって,さらないで,され,さる な,さろう,,されば,さらなければ,さらせる,さらせない,さっちゃう,,さっちまう,,さり,,さりなさい,,さられる,さられない,さったら,さらなかったら,1608.0,慣れる,なれる
回す,まわす,まわさない,まわした,まわさなかった,まわします,まわしません,まわしました,まわしません でした,まわせる,まわせない,まわして,まわさないで,まわせ,まわす な,まわそう,,まわせば,まわさなければ,まわさせる,まわさせない,まわしちゃう,,まわしちまう,,まわし,,まわしなさい,,まわされる,まわされない,まわしたら,まわさなかったら,1612.0,流す,ながす
除く,のぞく,のぞかない,のぞいた,のぞかなかった,のぞきます,のぞきません,のぞきました,のぞきません でした,のぞける,のぞけない,のぞいて,のぞかないで,のぞけ,のぞく な,のぞこう,,のぞけば,のぞかなければ,のぞかせる,のぞかせない,のぞいちゃう,,のぞいちまう,,のぞき,,のぞきなさい,,のぞかれる,のぞかれない,のぞいたら,のぞかなかったら,1617.0,握る,にぎる
育つ,そだつ,そだたない,そだった,そだたなかった,そだちます,そだちません,そだちました,そだちません でした,そだてる,そだてない,そだって,そだたないで,そだて,そだつ な,そだとう,,そだてば,そだたなければ,そだたせる,そだたせない,そだっちゃう,,そだっちまう,,そだち,,そだちなさい,,そだたれる,そだたれない,そだったら,そだたなかったら,1619.0,減る,へる
終える,おえる,おえない,おえた,おえなかった,おえます,おえません,おえました,おえません でした,おえられる,おえられない,おえて,おえないで,おえよ,おえる な,おえよう,,おえれば,おえなければ,おえさせる,おえさせない,おえちゃう,,おえちまう,,おえ,,おえなさい,,おえられる,おえられない,おえたら,おえなかったら,1625.0,下げる,さげる
外す,はずす,はずさない,はずした,はずさなかった,はずします,はずしません,はずしました,はずしません でした,はずせる,はずせない,はずして,はずさないで,はずせ,はずす な,はずそう,,はずせば,はずさなければ,はずさせる,はずさせない,はずしちゃう,,はずしちまう,,はずし,,はずしなさい,,はずされる,はずされない,はずしたら,はずさなかったら,1638.0,占める,しめる
つぶやく,つぶやく,つぶやかない,つぶやいた,つぶやかなかった,つぶやきます,つぶやきません,つぶやきました,つぶやきません でした,つぶやける,つぶやけない,つぶやいて,つぶやかないで,つぶやけ,つぶやく な,つぶやこう,,つぶやけば,つぶやかなければ,つぶやかせる,つぶやかせない,つぶやいちゃう,,つぶやいちまう,,つぶやき,,つぶやきなさい,,つぶやかれる,つぶやかれない,つぶやいたら,つぶやかなかったら,1640.0,優れる,すぐれる
向く,むく,むかない,むいた,むかなかった,むきます,むきません,むきました,むきません でした,むける,むけない,むいて,むかないで,むけ,むく な,むこう,,むけば,むかなければ,むかせる,むかせない,むいちゃう,,むいちまう,,むき,,むきなさい,,むかれる,むかれない,むいたら,むかなかったら,1644.0,包む,つつむ
負ける,まける,まけない,まけた,まけなかった,まけます,まけません,まけました,まけません でした,まけられる,まけられない,まけて,まけないで,まけよ,まける な,まけよう,,まければ,まけなければ,まけさせる,まけさせない,まけちゃう,,まけちまう,,まけ,,まけなさい,,まけられる,まけられない,まけたら,まけなかったら,1646.0,吐く,はく
